,,,,,,,PDV,PDV,PDV,PNRSV,PNRSV,PNRSV,PLMVd,PLMVd,PLMVd
Sample Name ,Location,Cultivar,Block,Tree Number,Row,Tree,Y1,Y2,Y3,Y1,Y2,Y3,Y1,Y2,Y3
CK-WHM5 525,Edgefield,Caroking,WHM5,525,3,6,-,-,-,-,-,-,-,-,-
CK-WHM5 527,Edgefield,Caroking,WHM5,527,3,8,-,-,-,-,-,-,-,-,-
CK-WHM5 528,Edgefield,Caroking,WHM5,528,3,9,-,-,-,-,-,-,-,-,-
CK-WHM5 529,Edgefield,Caroking,WHM5,529,3,10,-,-,-,-,-,-,-,-,-
CK-WHM5 530,Edgefield,Caroking,WHM5,530,4,10,-,-,-,-,-,-,-,-,-
CK-WHM5 533,Edgefield,Caroking,WHM5,533,4,7,-,-,-,-,-,-,-,-,-
CK-WHM5 534,Edgefield,Caroking,WHM5,534,4,6,-,-,-,-,-,-,-,-,-
CK-WHM5 535,Edgefield,Caroking,WHM5,535,4,5,-,-,-,-,-,-,-,-,-
CK-WHM5 536,Edgefield,Caroking,WHM5,536,4,4,-,-,-,-,-,-,-,-,-
CK-WHM5 537,Edgefield,Caroking,WHM5,537,4,3,-,-,-,-,-,-,-,-,-
CK-WHM5 539,Edgefield,Caroking,WHM5,539,4,1,-,-,-,-,-,-,-,-,-
CK-WHM5 541,Edgefield,Caroking,WHM5,541,5,2,-,-,-,-,-,-,-,-,-
CK-WHM5 542,Edgefield,Caroking,WHM5,542,5,3,-,-,-,-,-,-,-,-,-
CK-WHM5 543,Edgefield,Caroking,WHM5,543,5,4,-,-,-,-,-,-,-,-,-
CK-WHM5 544,Edgefield,Caroking,WHM5,544,5,5,-,-,-,-,-,-,-,-,-
CK-WHM5 545,Edgefield,Caroking,WHM5,545,5,6,-,-,-,-,-,-,-,-,-
CK-WHM5 546,Edgefield,Caroking,WHM5,546,5,7,-,-,-,-,-,-,-,-,-
CK-WHM5 547,Edgefield,Caroking,WHM5,547,5,8,-,-,-,-,-,-,-,-,-
CK-WHM5 549,Edgefield,Caroking,WHM5,549,5,10,-,-,-,-,-,-,-,-,-
CL-B7-1 4801,Edgefield,Clemson Ladies ,B7-1,4801,1,1,-,-,-,-,-,-,-,-,-
CL-B7-1 4802,Edgefield,Clemson Ladies ,B7-1,4802,1,2,-,-,-,-,-,-,+,+,+
CL-B7-1 4803,Edgefield,Clemson Ladies ,B7-1,4803,1,3,-,-,-,-,-,-,-,-,-
CL-B7-1 4804,Edgefield,Clemson Ladies ,B7-1,4804,1,4,-,-,-,-,-,-,-,-,-
CL-B7-1 4805,Edgefield,Clemson Ladies ,B7-1,4805,1,5,-,-,-,-,-,-,-,-,-
CL-B7-1 4806,Edgefield,Clemson Ladies ,B7-1,4806,1,6,-,-,-,-,-,-,-,-,-
CL-B7-1 4807,Edgefield,Clemson Ladies ,B7-1,4807,1,7,-,-,-,-,-,-,-,-,-
CL-B7-1 4808,Edgefield,Clemson Ladies ,B7-1,4808,1,8,-,-,-,-,-,-,-,-,-
CL-B7-1 4809,Edgefield,Clemson Ladies ,B7-1,4809,1,9,-,-,-,-,-,-,-,-,-
CL-B7-1 4810,Edgefield,Clemson Ladies ,B7-1,4810,1,10,-,-,-,-,-,-,-,-,-
CL-B7-1 4811,Edgefield,Clemson Ladies ,B7-1,4811,2,10,-,-,-,-,-,-,-,-,-
CL-B7-1 4812,Edgefield,Clemson Ladies ,B7-1,4812,2,9,-,-,-,-,-,-,-,-,-
CL-B7-1 4813,Edgefield,Clemson Ladies ,B7-1,4813,2,8,-,-,-,-,-,-,-,-,-
CL-B7-1 4814,Edgefield,Clemson Ladies ,B7-1,4814,2,7,-,-,-,-,-,-,-,-,-
CL-B7-1 4815,Edgefield,Clemson Ladies ,B7-1,4815,2,6,-,-,-,-,-,-,-,-,-
CL-B7-1 4816,Edgefield,Clemson Ladies ,B7-1,4816,2,5,-,-,-,-,-,-,-,-,-
CL-B7-1 4817,Edgefield,Clemson Ladies ,B7-1,4817,2,4,-,-,-,-,-,-,-,-,-
CL-B7-1 4818,Edgefield,Clemson Ladies ,B7-1,4818,2,3,-,-,-,-,-,-,-,-,-
CL-B7-1 4819,Edgefield,Clemson Ladies ,B7-1,4819,2,2,-,-,-,-,-,-,-,-,-
CL-B7-1 4820,Edgefield,Clemson Ladies ,B7-1,4820,2,1,-,-,-,-,-,-,-,-,-
CL-B7-1 4821,Edgefield,Clemson Ladies ,B7-1,4821,3,1,-,-,-,-,-,-,-,-,-
CL-B7-1 4822,Edgefield,Clemson Ladies ,B7-1,4822,3,2,-,-,-,-,-,-,-,-,-
CL-B7-1 4823,Edgefield,Clemson Ladies ,B7-1,4823,3,3,-,-,-,-,-,-,+,+,+
CL-B7-1 4824,Edgefield,Clemson Ladies ,B7-1,4824,3,4,-,-,-,-,-,-,-,-,-
CL-B7-1 4825,Edgefield,Clemson Ladies ,B7-1,4825,3,5,-,-,-,-,-,-,-,-,-
CL-B7-1 4826,Edgefield,Clemson Ladies ,B7-1,4826,3,6,-,-,-,-,-,-,-,-,-
CL-B7-1 4827,Edgefield,Clemson Ladies ,B7-1,4827,3,7,-,-,-,-,-,-,-,-,-
CL-B7-1 4828,Edgefield,Clemson Ladies ,B7-1,4828,3,8,-,-,-,+,-,-,-,-,-
CL-B7-1 4829,Edgefield,Clemson Ladies ,B7-1,4829,3,9,-,-,-,-,-,-,-,-,-
CL-B7-1 4830,Edgefield,Clemson Ladies ,B7-1,4830,3,10,-,-,-,-,-,-,-,-,-
CL-B7-1 4831,Edgefield,Clemson Ladies ,B7-1,4831,4,10,-,-,-,-,-,-,-,-,-
CL-B7-1 4832,Edgefield,Clemson Ladies ,B7-1,4832,4,9,-,-,-,-,-,-,-,-,-
CL-B7-1 4833,Edgefield,Clemson Ladies ,B7-1,4833,4,8,-,-,-,-,-,-,-,-,-
CL-B7-1 4834,Edgefield,Clemson Ladies ,B7-1,4834,4,7,-,-,-,-,-,-,-,-,-
CL-B7-1 4835,Edgefield,Clemson Ladies ,B7-1,4835,4,6,-,-,-,-,-,-,-,-,-
CL-B7-1 4836,Edgefield,Clemson Ladies ,B7-1,4836,4,5,-,-,-,-,-,-,-,-,-
CL-B7-1 4837,Edgefield,Clemson Ladies ,B7-1,4837,4,4,-,-,-,-,-,-,-,-,-
CL-B7-1 4838,Edgefield,Clemson Ladies ,B7-1,4838,4,3,-,-,-,-,-,-,-,-,-
CL-B7-1 4839,Edgefield,Clemson Ladies ,B7-1,4839,4,2,-,-,-,-,-,-,-,-,-
CL-B7-1 4840,Edgefield,Clemson Ladies ,B7-1,4840,4,1,-,-,-,-,-,-,-,-,-
CL-B7-1 4841,Edgefield,Clemson Ladies ,B7-1,4841,5,1,-,-,-,-,-,-,-,-,-
CL-B7-1 4842,Edgefield,Clemson Ladies ,B7-1,4842,5,2,-,-,-,-,-,-,-,-,-
CL-B7-1 4843,Edgefield,Clemson Ladies ,B7-1,4843,5,3,-,-,-,-,-,-,-,-,-
CL-B7-1 4844,Edgefield,Clemson Ladies ,B7-1,4844,5,4,-,-,-,-,-,-,-,-,-
CL-B7-1 4845,Edgefield,Clemson Ladies ,B7-1,4845,5,5,-,-,-,-,-,-,-,-,-
CL-B7-1 4846,Edgefield,Clemson Ladies ,B7-1,4846,5,6,-,-,-,-,-,-,-,-,-
CL-B7-1 4847,Edgefield,Clemson Ladies ,B7-1,4847,5,7,-,-,-,-,-,-,-,-,-
CL-B7-1 4848,Edgefield,Clemson Ladies ,B7-1,4848,5,8,-,-,-,-,-,-,-,-,-
CL-B7-1 4849,Edgefield,Clemson Ladies ,B7-1,4849,5,9,-,-,-,-,-,-,-,-,-
CL-B7-1 4850,Edgefield,Clemson Ladies ,B7-1,4850,5,10,-,-,-,-,-,-,-,-,-
CL-B7-1 4851,Edgefield,Clemson Ladies ,B7-1,4851,6,10,-,-,-,-,-,-,-,-,-
CL-B7-1 4852,Edgefield,Clemson Ladies ,B7-1,4852,6,9,-,-,-,-,-,-,-,-,-
CL-B7-1 4853,Edgefield,Clemson Ladies ,B7-1,4853,6,8,-,-,-,-,-,-,-,-,-
CL-B7-1 4854,Edgefield,Clemson Ladies ,B7-1,4854,6,7,-,-,-,-,-,-,-,-,-
CL-B7-1 4855,Edgefield,Clemson Ladies ,B7-1,4855,6,6,-,-,-,-,-,-,-,-,-
CL-B7-1 4856,Edgefield,Clemson Ladies ,B7-1,4856,6,5,-,-,-,-,-,-,-,-,-
CL-B7-1 4857,Edgefield,Clemson Ladies ,B7-1,4857,6,4,-,-,-,-,-,-,-,-,-
CL-B7-1 4858,Edgefield,Clemson Ladies ,B7-1,4858,6,3,-,-,-,-,-,-,-,-,-
CL-B7-1 4859,Edgefield,Clemson Ladies ,B7-1,4859,6,2,-,-,-,-,-,-,-,-,-
CL-B7-1 4860,Edgefield,Clemson Ladies ,B7-1,4860,6,1,-,-,-,-,-,-,-,-,-
CL-B7-1 4861,Edgefield,Clemson Ladies ,B7-1,4861,7,1,-,-,-,-,-,-,-,-,-
CL-B7-1 4862,Edgefield,Clemson Ladies ,B7-1,4862,7,2,-,-,-,-,-,-,-,-,-
CL-B7-1 4863,Edgefield,Clemson Ladies ,B7-1,4863,7,3,-,-,-,-,-,-,-,-,-
CL-B7-1 4864,Edgefield,Clemson Ladies ,B7-1,4864,7,4,-,-,-,-,-,-,-,-,-
CL-B7-1 4865,Edgefield,Clemson Ladies ,B7-1,4865,7,5,-,-,-,-,-,-,-,-,-
CL-B7-1 4866,Edgefield,Clemson Ladies ,B7-1,4866,7,6,-,-,-,-,-,-,-,-,-
